,Date,Close,High,Low,Open,Volume,SMA_05,SMA_08,SMA_13,SMA_21,EMA_50,EMA_200,VolumeSMA_14,RSI,MACD,MACD_Signal,MACD_Hist,BB_Up,BB_Mid,BB_Low,Plus_DMI,Minus_DMI,ADX,SAR,SAR_MoreSensitive,SAR_LessSensitive,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,ATR,NATR,TRANGE,APO,CCI,CMO,MFI,MOM,ROC,ROCP,ROCR,ROCR100,STOCH_K,STOCH_D,STOCHF_K,STOCHF_D,STOCHRSI_K,STOCHRSI_D,TRIX,ULTOSC,WILLR,OBV,AD,CMF,VPT,BOP
BERG-B.ST,2024-11-21,276.0,277.5,267.5,271.5,14062.0,275.0,279.8125,286.5769230769231,294.92857142857144,,,22440.071428571428,36.6175706887415,,,,319.30244213736245,293.325,267.34755786263753,10.749977026255097,35.17417670071218,28.689084863794196,283.39170084869147,284.6195639808,297.9709522789389,284.75,299.75,,,315.0,8.199775773693597,2.97093325133826,10.0,-13.554487179487182,-107.5471698113208,-26.764858622517,25.31911102198368,-18.5,-6.281833616298815,-0.06281833616298811,0.9371816638370118,93.71816638370119,24.074074074074066,12.800712438393598,47.22222222222222,24.074074074074066,100.0,33.333333333333336,,36.83893872741142,-76.38888888888889,-148640.0,-267988.1850541924,-0.38431898823978017,-3500.32336910145,0.45
BERG-B.ST,2024-11-22,278.5,279.5,274.0,276.5,40521.0,274.7,278.625,285.0,292.6190476190476,,,20591.928571428572,39.323506975375864,,,,316.1072451270675,291.475,266.8427548729326,12.035636953285564,33.408633212578245,29.99923762189504,280.21336067895317,280.510868625408,294.92385705104505,283.25,299.75,,,300.5,8.006934647001197,2.875021417235618,5.5,-13.644230769230774,-67.87878787878806,-21.352986049248265,41.86296935506207,-17.0,-5.752961082910324,-0.05752961082910321,0.9424703891708968,94.24703891708968,47.73374773374773,26.713718380385046,84.61538461538461,47.73374773374773,100.00000000000001,66.66666666666667,,38.190472328741734,-69.44444444444444,-108119.0,-242202.09414510147,-0.22514511067211582,-3133.2853256231892,0.36363636363636365
BERG-B.ST,2024-11-25,277.0,282.5,276.0,279.0,9714.0,275.2,277.25,283.34615384615387,290.7857142857143,,,20003.35714285714,38.26785979100801,,,,312.03441811984476,289.5,266.96558188015524,14.084353691570215,31.402524812706638,30.575927376425085,267.5,267.5,292.18147134594057,279.5,299.75,,,297.5,7.899296457929682,2.851731573259813,6.5,-13.56410256410254,-50.20576131687237,-23.464280417983993,39.89027755767687,-22.5,-7.512520868113526,-0.07512520868113523,0.9248747913188647,92.48747913188647,65.05698005698005,45.621600621600614,63.333333333333336,65.05698005698005,85.34528646456594,95.11509548818866,,36.5236307288873,-73.61111111111111,-117833.0,-248927.1710681784,-0.21888025005737657,-3185.6048947434765,-0.3076923076923077
BERG-B.ST,2024-11-26,272.5,278.5,271.0,277.0,15251.0,275.2,275.375,281.65384615384613,288.6904761904762,,,18221.428571428572,35.21374921895312,-11.379068223775505,-11.562539843207421,0.18347161943191637,310.2890284994683,287.85,265.41097150053173,13.10641381771142,33.85107241322884,31.54747057742955,267.8,268.1,289.7133242113465,279.5,299.75,,,293.5,7.870775282363276,2.8883579017846883,7.5,-13.961538461538453,-74.88061127029594,-29.572501562093773,44.29950239999593,-15.5,-5.381944444444442,-0.05381944444444445,0.9461805555555556,94.61805555555556,60.427350427350426,57.73935940602607,33.333333333333336,60.427350427350426,42.94748897902956,76.09759181453184,,36.180694590003974,-85.5072463768116,-133084.0,-258077.7710681784,-0.20566810566717708,-3433.3648225413103,-0.6
BERG-B.ST,2024-11-27,273.5,277.0,271.0,277.0,7861.0,275.5,274.5625,279.96153846153845,287.1666666666667,,,17518.714285714286,36.4279457758583,-11.112440701302432,-11.472520014826424,0.3600793135239915,308.0912210293182,286.275,264.45877897068175,12.366635718901035,31.94038331544451,32.44961783550512,268.094,268.67600000000004,287.49199179021184,276.5,299.75,,,288.0,7.7371484764801846,2.828939113886722,6.0,-14.782051282051327,-69.26756352765305,-27.14410844828341,46.333437708259275,-14.5,-5.034722222222221,-0.050347222222222224,0.9496527777777778,94.96527777777779,45.55555555555555,57.013295346628674,40.0,45.55555555555555,29.544236640410936,52.612337361335484,,39.72903453614548,-82.60869565217392,-125223.0,-259387.93773484507,-0.19704986177948458,-3404.517116119292,-0.5833333333333334
BERG-B.ST,2024-11-28,273.5,277.0,271.5,273.5,9136.0,275.0,274.4375,277.96153846153845,285.6666666666667,,,17193.071428571428,36.4279457758583,-10.77690699336705,-11.333397410534548,0.5564904171674989,306.581654067669,284.975,263.36834593233107,11.713931533580748,30.254587570781183,33.28732600371816,268.38212,269.22896000000003,285.4927926111907,275.0,299.75,,,290.0,7.5773521567316,2.7705126715654846,5.5,-13.971153846153868,-61.711942593541515,-27.144108448283404,51.224906446257,-14.0,-4.869565217391303,-0.04869565217391304,0.951304347826087,95.1304347826087,31.690821256038642,45.89124241298154,21.73913043478261,31.690821256038642,29.544236640410936,34.011987419950486,,40.50126573885149,-82.60869565217392,-125223.0,-261879.57409848142,-0.1585020412819761,-3404.517116119292,0.0
BERG-B.ST,2024-11-29,265.5,274.0,265.5,273.0,117885.0,272.4,273.5625,276.2307692307692,284.04761904761904,,,23034.285714285714,31.031918577600297,-11.029387341926338,-11.272595396812907,0.24320805488656916,304.5139248797616,283.075,261.6360751202384,10.768037855783085,33.51150795439895,34.57847251155763,282.5,282.5,283.6935133500716,274.0,297.0,,,288.0,7.643255574107913,2.8788156587977074,8.5,-13.480769230769226,-121.23155869146912,-37.93616284479941,26.47163823326646,-14.5,-5.178571428571432,-0.05178571428571429,0.9482142857142857,94.82142857142857,20.579710144927528,32.60869565217391,0.0,20.579710144927528,0.0,19.696157760273966,,36.66146889766915,-100.0,-243108.0,-379764.57409848145,-0.3636229001141377,-6852.707244090041,-0.8823529411764706
BERG-B.ST,2024-12-02,285.0,285.5,264.0,265.0,36188.0,274.0,275.1875,276.0,283.1666666666667,,,24591.5,50.341163658366405,-9.545953001430917,-10.927266917736508,1.3813139163055919,303.24758440011817,282.55,261.85241559988185,18.470558711689538,27.4693480897736,33.507736981077976,264.0,264.0,264.0,274.75,293.75,,,297.0,8.633023033100205,3.0291308888070896,21.5,-12.516025641025635,18.73620309050808,0.682327316732816,35.66618683118244,10.5,3.825136612021862,0.03825136612021858,1.0382513661202186,103.82513661202186,39.80451634647792,30.691682582481363,97.67441860465117,39.80451634647792,100.0,43.18141221347032,,48.79417122040072,-23.636363636363633,-206920.0,-345259.7368891791,-0.23280522041849191,-4194.831537875352,0.9302325581395349
BERG-B.ST,2024-12-03,284.0,285.0,278.5,285.0,109919.0,276.3,276.1875,275.7307692307692,282.6190476190476,,,30487.428571428572,49.57463786648765,-8.354704409858357,-10.412754416160878,2.058050006302521,301.0987046197407,281.8,262.5012953802593,17.44640805651776,25.946234940766434,32.513482559918295,264.0,264.0,264.0,274.75,292.0,,,304.5,8.480664245021618,2.9861493820498652,6.5,-10.93269230769232,103.51515151515122,-0.8507242670247087,55.34148226288068,11.5,4.220183486238538,0.04220183486238532,1.0422018348623854,104.22018348623854,63.5658914728682,41.316705988091215,93.02325581395348,63.5658914728682,96.03026535386259,65.34342178462087,,49.63311069629975,-27.27272727272727,-316839.0,-269161.96765840985,-0.06879775887030065,-4580.512239629738,-0.15384615384615385
BERG-B.ST,2024-12-04,294.5,294.5,288.0,294.0,22470.0,280.5,278.1875,276.84615384615387,282.4047619047619,,,31433.714285714286,56.98147827208271,-6.488572841989765,-9.627918101326655,3.1393452593368902,300.27511713483887,281.6,262.9248828651612,23.871093988595778,23.663653710325455,30.22226217260186,264.0,264.0,264.0,279.25,286.5,,,306.0,8.624902513234359,2.928659597023551,10.5,-8.842948717948673,251.67224080267516,13.96295654416542,56.80032199884143,22.5,8.272058823529417,0.08272058823529412,1.0827205882352942,108.27205882352942,96.89922480620153,66.75654420851588,100.0,96.89922480620153,99.99999999999999,98.6767551179542,,58.27405998712209,-0.0,-294369.0,-246691.96765840985,-0.04274735655992585,-3749.7551973762174,0.07692307692307693
